10cc/Dreadlock Holiday.2.mid	4 100
Four Tops/Reach Out I'll Be There.1.mid	1 5
Francesco De Gregori/Belli capelli.mid	5 0
Francis Connie/Everybody's Somebody's Fool.1.mid	1 24
Francis Connie/Lipstick on Your Collar.mid	1 99
Frank Galan/El Bandido.mid	4 65
Frank Sinatra/All The Way.mid	4 4
Frank Sinatra/All or Nothing at All.mid	1 11
Frank Sinatra/Come Rain or Come Shine.mid	1 73
Frank Sinatra/Ebb Tide.1.mid	6 11
Frank Sinatra/Ebb Tide.1.mid	7 42
Frank Sinatra/Ebb Tide.1.mid	8 78
Frank Sinatra/Ebb Tide.1.mid	9 11
Frank Sinatra/It Was a Very Good Year.mid	3 60
Frank Sinatra/Love and Marriage.mid	1 17
Frank Sinatra/My Way (live).1.mid	4 71
Frank Sinatra/New York, New York (theme du film).3.mid	1 11
Frank Sinatra/New York, New York (theme du film).mid	1 11
Frank Sinatra/Nice 'N Easy.mid	3 11
Frank Sinatra/Not as a Stranger.mid	4 65
Frank Sinatra/Strangers in the Night.mid	4 65
Frank Sinatra/Summer Wind.mid	18 
Frank Sinatra/What Is This Thing Called Love_.1.mid	1 65
Frank Sinatra/What Is This Thing Called Love_.mid	1 22
Frank Sinatra/Young At Heart.1.mid	4 11
Frank Sinatra/Young At Heart.1.mid	11 26
Frankie Goes to Hollywood/Relax (Frankie Goes to Dreamscape).1.mid	4 81
Frankie Goes to Hollywood/Relax (Frankie Goes to Dreamscape).mid	4 81
Frankie Goes to Hollywood/The Power of Love.1.mid	4 75
Frankie Valli/Can't Take My Eyes Off of You.mid	4 1
Frankie Valli/December 1963 (Oh What a Night).1.mid	4 54
Frankie Valli/December 1963 (Oh What a Night).mid	4 65
Franky Boy/Kontebonke.mid	4 26
Frans Bauer/'n Dag uit duizend dromen.mid	4 65
Frans Bauer/Als sterren aan de hemel staan.mid	4 48
Frans Bauer/Het leven is te mooi.mid	4 65
Frans Bauer/Waarom heb jij mij verlaten.mid	4 65
Freak Power/Turn On, Turn In, Cop Out.mid	4 35
Freddie Mercury/Living on My Own.mid	4 62
Freddy Martin/Managua, Nicaragua.mid	-1 -1 shifting melody among channels
Free/Allright Now.2.mid	4 80
Fugees/Killing Me Softly.8.mid	1 73
Fugees/Killing Me Softly.mid	1 57
Fugees/No Woman, No Cry.mid	11 53
Fun Factory/Close to You.mid	4 26
G. G. Anderson/Engel von Valparaiso.mid	1 21
G. G. Anderson/Gitarren klingen leise durch die Nacht.1.mid	1 0
G. G. Anderson/Ich bin so treu wie Gold.mid	1 1
G. G. Anderson/Lady Sunshine.mid	1 56
G. G. Anderson/Madchen Madchen.mid	4 62
G. G. Anderson/Sommernacht in Rom.mid	4 57
G. G. Anderson/Sonnenschein im Blut.mid	1 56
G. G. Anderson/Ti amo Maria.mid	1 100
G. G. Anderson/Weisse Rosen schenk' ich dir.mid	1 87
Garland/Over the Rainbow.mid	4 24
Garth Brooks/Two of a Kind, Workin' on a Full House.mid	1 16
Gary Fane/Aquarius.mid	1 73
Gary Glitter/Rock & Roll, Part 2.mid	4 65
Gary Lewis/Count Me In.mid	1 69
Gary Lewis/Count Me In.mid	2 81
Gary Lewis/Everybody Loves a Clown.mid	8 69
Gary Lewis/She's Just My Style.mid	3 11
Gary Lewis/She's Just My Style.mid	4 73
Gary Moore/Cold Day in Hell.mid	1 65
Gary Moore/Parisienne Walkways.mid	4 65
Gary Moore/Still Got the Blues.mid	1 65
Gaye,Marvin/(Sexual) Healing.3.mid	4 73
Gene Pitney/Every Breath I Take.mid	4 71
Genesis/A Trick of the Tail.1.mid	9 88
Genesis/Broadway Melody of 1974.mid	0 
Genesis/Carpet Crawlers.mid	3 1
Genesis/Carpet Crawlers.mid	3 0
Genesis/Entangled.1.mid	6 73
Genesis/Entangled.mid	6 73
Genesis/Hold On My Heart.1.mid	3 53
Genesis/Hold On My Heart.mid	3 53
Genesis/I Can't Dance.3.mid	1 29
Genesis/I Can't Dance.4.mid	4 87
Genesis/Invisible Touch.1.mid	0 
Genesis/Invisible Touch.6.mid	0 
Genesis/Invisible Touch.7.mid	0 
Genesis/Invisible Touch.8.mid	4 63
Genesis/Jesus He Knows Me.1.mid	7 62
Genesis/Jesus He Knows Me.4.mid	7 62
Genesis/Jesus He Knows Me.mid	7 62
Genesis/Lilywhite Lilith.mid	1 87
Genesis/Lilywhite Lilith.mid	0 
Genesis/No Son of Mine.4.mid	1 65
Genesis/Tell Me Why.2.mid	1 0
Genesis/That's All.1.mid	1 90
Genesis/Throwing It All Away.mid	1 88
George Baker Selection/Morning Sky.1.mid	3 73
George Baker Selection/Santa Lucia by Night.mid	1 65
George Baker Selection/Una Paloma Blanca.1.mid	5 56
George Harrison/All Those Years Ago.mid	1 73
George Harrison/Bangladesh.mid	1 73
George McCrae/Rock Your Baby.1.mid	4 66
George Michael/Faith.1.mid	5 75
Georgie Fame/The Ballad of Bonnie & Clyde.mid	4 59
Gerard Joling/Liefde op het eerste gezicht.mid	4 26
Gerry & The Pacemakers/Ferry Cross the Mersey.mid	4 0
Gerry & The Pacemakers/You'll Never Walk Alone.mid	4 35
Gerry Rafferty/Baker Street.3.mid	4 53
Gibson Brothers/Cuba.1.mid	1 66
Gibson Brothers/Cuba.mid	4 29
Gibson Brothers/Que sera mi vida (If You Should Go).mid	4 62
Gilbert O'Sullivan/Get Down.1.mid	1 72
Gilbert O'Sullivan/Get Down.2.mid	4 75
Gin Blossoms/Hey Jealousy.1.mid	4 17
Giorgia/C'e da fare.mid	4 74
Giorgia/Come saprei.2.mid	4 75
Giorgia/Come saprei.4.mid	4 82
Giorgia/E c'e ancora mare.mid	4 74
Giorgia/Strano il mio destino.mid	4 73
Giorgio Moroder/Chase.1.mid	2 87
Gipsy Kings/Baila Me.mid	1 25
Gipsy Kings/Bamboleo.1.mid	4 24
Gipsy Kings/Hits Medley.mid	1 24
Glen Campbell/Dream Baby (How long Must I Dream).mid	4 24
Glen Campbell/Dreams Of The Everyday Housewife.mid	4 0
Glen Campbell/Rhinestone Cowboy.mid	4 71
Glen Campbell/Try A Little Kindness.mid	4 26
Glenn Frey/This Way to Happiness.mid	4 26
Glenn Frey/You Belong to the City.1.mid	3 29
Gloria Gaynor/I Will Survive.2.mid	1 65
Gloria Gaynor/I Will Survive.4.mid	1 65
Gloria Gaynor/Medley_ I Will Survive   Never Can Say Goodbye   Reach Out   I Am What I Am.mid	4 65
Gloria Gaynor/Never Can Say Goodbye.2.mid	1 92
Godspell/Day By Day.mid	1 71
Golden Earring/Twilight Zone.2.mid	2 44
Good Shape/Take My Love.mid	4 102
Gordon/Ik hou van jou.mid	4 26
Gordon/Jong voor altijd.mid	4 65
Gordon/Kon Ik Maar Even Bij Je Zijn.mid	1 5
Gordon/We've Got the Power (Now Is the Time).mid	4 65
Grand Funk Railroad/Bad Time.mid	9 71
Grant & Forsyth/It's Gonna Be a Cold, Cold Christmas (Without You).mid	4 35
Grant & Forsyth/White Christmas.mid	4 35
Grease/Summer Saturdays.mid	-1 -1 shifting melody among channels
Great White/Once Bitten Twice Shy.mid	4 63
Green Day/Basket Case.1.mid	4 65
Guess Who/American Woman.1.mid	4 73
Guess Who/American Woman.2.mid	4 54
Guess Who/American Woman.2.mid	5 54
Guess Who/Hand Me Down World.mid	1 26
Guess Who/No Sugar Tonight.mid	4 75
Guess Who/No Time.mid	4 73
Guess Who/Shakin' All Over.mid	1 27
Guess Who/These Eyes.1.mid	4 73
Guns N' Roses/Live & Let Die.1.mid	4 73
Guns N' Roses/Yesterday's.mid	1 26
Haddaway/Fly Away.2.mid	4 87
Haddaway/Rock My Heart.mid	4 87
Haddaway/What Is Love.mid	4 54
Haley/(We're Gonna) Rock Around The Clock.1.mid	1 66
Haley/See You Later Alligator.mid	4 61
Haley/Shake, Rattle And Roll.1.mid	4 18
Haley/Skinnie Minnie.mid	4 71
Hall & Oates/Everytime You Go Away.mid	1 26
Hall & Oates/Sara Smile.mid	5 65
Hall & Oates/Sara Smile.mid	6 0
Hall & Oates/Sara Smile.mid	7 0
Hall & Oates/So Close (Unplugged).mid	7 5
Hans Albers/Auf der Reeperbahn nachts um halb eins.mid	4 71
Hans Dulfer/Streetbeats.mid	4 65
Harry Nilsson/Everybody's Talkin.mid	5 26
Harry Nilsson/Everybody's Talkin.mid	6 89
Harry Nilsson/Everybody's Talkin.mid	6 89
Harry Nilsson/Without You.3.mid	4 11
Hasselhoff David/Amore Amore (Elisabeth).mid	1 56
Hasselhoff David/Crazy for You.mid	1 61
Hasselhoff David/Do the Limbo Dance.1.mid	1 57
Hasselhoff David/Do the Limbo Dance.mid	4 75
Hasselhoff David/Flying on the Wings of Tenderness.mid	1 24
Hasselhoff David/Song of the Night.mid	1 65
Heatwave/Boogie Nights.mid	7 18
Heidi Bruhl/Wir wollen niemals auseinandergehn.mid	1 65
Helen Reddy/I Am Woman.1.mid	1 0
Helen Reddy/I Am Woman.mid	4 73
Henry Arland/Echo der Berge.1.mid	4 65
Herman's Hermits/A Kind of Hush.mid	2 0
Herman's Hermits/Henry the VIII.mid	4 105
Herman's Hermits/Listen People.mid	4 26
Heywood/Begin the Beguine.mid	1 57
Holiday Billie/Stormy Blues.mid	16 11
Holly Buddy/Fool's Paradise.mid	4 26
Holly Buddy/Heartbeat.mid	4 88
Holly Buddy/I'm Gonna Love You Too.mid	4 26
Holly Buddy/I'm Lookin' For Someone To Love.mid	4 26
Holly Buddy/I'm Lookin' For Someone To Love.mid	4 26
Holly Buddy/I'm Lookin' For Someone To Love.mid	0 
Holly Buddy/It's So Easy.mid	4 26
Holly Buddy/It's So Easy.mid	4 26
Holly Buddy/Listen to Me.mid	4 73
Holly Buddy/Lonesome Tears.mid	4 24
Holly Buddy/Look at Me.mid	4 26
Holly Buddy/Love's Made A Fool Of You.mid	4 26
Holly Buddy/Moondreams.mid	4 26
Holly Buddy/Peggy Sue.1.mid	4 26
Holly Buddy/Rave On.mid	4 75
Holly Buddy/Rock Me My Baby.mid	4 26
Holly Buddy/Shake Rattle & Roll.mid	4 18
Holly Buddy/Take Your Time.mid	4 28
Holly Buddy/That'll Be The Day.mid	4 26
Holly Buddy/True Love Ways.mid	4 26
Holly Buddy/Well... All Right.mid	4 22
Holly Buddy/Words Of Love.mid	4 22
Holly Buddy/You've Got Love.mid	4 26
Hot Chocolate/Every 1's a Winner.mid	1 90
Hot Chocolate/No Doubt About It.mid	1 48
Hot Chocolate/You Sexy Thing.2.mid	1 61
Howard Carpendale/Deine Spuren im Sand.mid	4 26
Howard Carpendale/Hello Again.2.mid	4 75
Howard Carpendale/Mit viel viel Herz.mid	1 73
Howard Carpendale/Nachts wenn alles schlaft.mid	1 65
Howard Carpendale/One More Dance in Blue.mid	1 0
Howard Carpendale/Ti Amo.mid	4 29
Howard Carpendale/Willkommen auf der Titanic.mid	1 18
Huey Lewis & The News/Couple Days Off.mid	6 0
Huey Lewis & The News/Hip to Be Square.2.mid	4 62
Huey Lewis & The News/Power of Love.1.mid	2 88
Huey Lewis & The News/Power of Love.1.mid	3 30
Huey Lewis & The News/Power of Love.2.mid	4 54
Huey Lewis & The News/Power of Love.mid	2 25
Huey Lewis & The News/The Power of Love.1.mid	1 62
Huey Lewis & The News/The Power of Love.mid	1 5
Huey Lewis/But It's Alright.mid	1 61
Huey Lewis/Power of Love.mid	2 56
Huey Lewis/Power of Love.mid	3 61
Humperdinck Engelbert/Alone In The Night.mid	1 26
Humperdinck Engelbert/On the Wings of a Silverbird.mid	1 91
Humperdinck Engelbert/Please Release Me (Let Me Go).mid	4 35
Humperdinck Engelbert/Portofino.2.mid	1 25
Humperdinck Engelbert/Radio Dancing.1.mid	1 62
Humperdinck Engelbert/The Last Waltz.1.mid	4 4
Humperdinck Engelbert/The Last Waltz.2.mid	4 35
Humperdinck Engelbert/To All The Girls I've Loved Before.1.mid	1 26
Huub Hangop/(Wat ben je) Lelijk van dichtbij.mid	4 65
INXS/Bitter Tears.mid	1 24
INXS/Disappear.mid	1 24
INXS/Not Enough Time.mid	4 73
Ice MC/Think About the Way 2K9.mid	4 80
Ike & Tina Turner/Proud Mary.mid	7 24
Images/Maitresse.mid	1 94
Ingram James/Yah Mo B There.mid	4 26
Inner Circle/Rock With You.1.mid	8 87
Inner Circle/Sweat (A La La La Song).1.mid	4 99
Interactive/Forever Young.mid	4 26
Irene Cara/Fame.mid	1 68
Isaac Hayes/Shaft.1.mid	4 26
Jackie DeShannon/Put a Little Love in Your Heart.mid	1 65
Jackson Browne/Stay.mid	9 72
Jackson Michael/Bad.3.mid	4 80
Jackson Michael/Billie Jean.2.mid	4 26
Jackson Michael/Black or White.5.mid	4 82
Jackson Michael/Black or White.6.mid	1 82
Jackson Michael/Don't Stop 'Til You Get Enough.mid	4 81
Jackson Michael/Give In to Me.mid	1 94
Jackson Michael/HIStory.1.mid	7 103
Jackson Michael/Heal The World.mid	1 11
Jackson Michael/Human Nature.mid	1 73
Jackson Michael/I Just Can't Stop Loving You.3.mid	1 11
Jackson Michael/I Just Can't Stop Loving You.mid	4 26
Jackson Michael/Man in the Mirror.1.mid	4 82
Jackson Michael/Remember the Time.mid	1 26
Jackson Michael/Scream.1.mid	4 65
Jackson Michael/Scream.mid	4 30
Jackson Michael/Smooth Criminal.1.mid	1 11
Jackson Michael/Smooth Criminal.5.mid	1 11
Jackson Michael/The Girl Is Mine.2.mid	4 26
Jackson Michael/The Girl Is Mine.3.mid	1 11
Jackson Michael/The Girl Is Mine.mid	1 11
Jackson Michael/The Way You Make Me Feel.1.mid	1 18
Jackson Michael/The Way You Make Me Feel.mid	1 11
Jackson Michael/Thriller.2.mid	4 111
Jackson Michael/Thriller.3.mid	4 111
Jackson Michael/Thriller.mid	4 17
Jackson Michael/Wanna Be Startin' Somethin'.mid	1 11
Jackson Michael/Wanna Be Starting Something.1.mid	1 18
Jackson Michael/You Are Not Alone.1.mid	4 73
Jam & Spoon/Right In The Night.mid	4 54
James Brown/Sex Machine (Get Up I Feel Like Being A).mid	4 28
James Colin/Just Came Back.mid	4 82
James Last/Medley.mid	7 56
James/Crimson & Clover.mid	6 54
Jamiroquai/Canned Heat.1.mid	1 24
Jamiroquai/Canned Heat.mid	1 24
Jan & Dean/Surf City.mid	1 33
Jan Hammer/Crocket's Theme.1.mid	3 91
Jan Hammer/Crocket's Theme.1.mid	4 104
Janet Jackson/Again.mid	2 0
Janet Jackson/Escapade.mid	1 83
Janet Jackson/When I Think Of You.1.mid	1 73
Janet Jackson/Whoops Now.mid	4 75
Janis Joplin/Me & Bobby McGee.2.mid	4 73
Jean Michel Jarre/Chronologie, Part 4.mid	4 90
Jean Michel Jarre/Chronologie, Part 4.mid	11 24
Jefferson Starship/With Your Love.mid	1 23
Jennifer Rush/The Power of Love.1.mid	1 75
Jennifer Warnes/(I've Had) The Time of My Life.mid	1 0
Jeremy Jackson/You Can Run.mid	4 35
Jerry Lee Lewis/Chantilly Lace.mid	4 1
Jerry Lee Lewis/Great Balls of Fire.mid	4 65
Jessica Simpson/Where You Are.mid	9 73
Jesus Jones/Real Real Real.1.mid	4 81
Jesus Jones/Right Here Right Now.mid	4 60
Jethro Tull/Locomotive Breath.1.mid	1 73
Jett/I Hate Myself for Loving You.mid	4 29
Jim Croce/Bad Bad Leroy Brown.mid	6 84
Jim Croce/Time in a Bottle.mid	1 21
Jim Croce/Time in a Bottle.mid	4 50
Jim Croce/Time in a Bottle.mid	8 79
Jimi Hendrix/Hey Joe.1.mid	4 65
Jimi Hendrix/Wild Thing.mid	1 99
Jimmy Buffett/Margaritaville.2.mid	4 11
Jimmy Buffett/Margaritaville.3.mid	7 11
Jimmy Buffett/Son of a Son of a Sailor.mid	4 11
Jimmy Cliff/I Can See Clearly Now.mid	4 82
Jimmy Cliff/Reggae Night.mid	4 26
Jimmy Reed/I'm Gonna Get My Baby.mid	5 18
Jive Bunny/That's What I Like (Medley).mid	1 0
Joan Osborne/One of Us.1.mid	4 53
Jody Reynolds/Endless Sleep.mid	4 82
Jody Reynolds/Endless Sleep.mid	4 82
Joe Cocker/Cry Me a River (live).1.mid	1 60
Joe Cocker/Cry Me a River (live).mid	4 60
Joe Cocker/Feelin' Alright.mid	4 18
Joe Cocker/Have a Little Faith in Me.mid	4 75
Joe Cocker/Let the Healing Begin.mid	4 62
Joe Dassin/Dieser Sanger braucht nur ein Chanson.mid	1 66
Joe Dolce/Shaddap Your Face.mid	4 26
Joe Jackson/Breaking Us In Two.mid	8 50
Joe Jackson/Stepping Out.mid	5 4
John Denver/Take Me Home Country Roads.mid	9 21
John Elton/A Word in Spanish.1.mid	1 24
John Elton/A Word in Spanish.mid	4 24
John Elton/Believe.1.mid	4 65
John Elton/Believe.3.mid	4 65
John Elton/Bennie & The Jets.mid	4 26
John Elton/Blessed.1.mid	4 73
John Elton/Blue Eyes.1.mid	4 11
John Elton/Blue Eyes.3.mid	7 4
John Elton/Border Song.mid	4 73
John Elton/Burn Down the Mission.mid	4 26
John Elton/Can You Feel the Love Tonight.mid	1 88
John Elton/Candle in the Wind.3.mid	4 24
John Elton/Circle of Life.mid	1 0
John Elton/Circle of Life.mid	6 5
John Elton/Club at the End of the Street.mid	1 18
John Elton/Crocodile Rock.1.mid	4 18
John Elton/Crocodile Rock.mid	1 65
John Elton/Daniel.2.mid	4 24
John Elton/Don't Go Breaking My Heart.2.mid	4 5
John Elton/Don't Go Breaking My Heart.mid	2 24
John Elton/Don't Go Breaking My Heart.mid	3 24
John Elton/Don't Let The Sun Go Down On Me.1.mid	1 11
John Elton/Empty Garden (Hey Hey Johnny).mid	4 11
John Elton/Empty Garden.mid	1 11
John Elton/Funeral for a Friend.1.mid	4 18
John Elton/Goodby Yellow Brick Road.1.mid	1 11
John Elton/Goodby Yellow Brick Road.2.mid	4 26
John Elton/Goodby Yellow Brick Road.4.mid	1 71
John Elton/Honky Cat.mid	4 26
John Elton/I Don't Wanna Go On With You Like That.1.mid	1 99
John Elton/I Don't Wanna Go On With You Like That.3.mid	4 0
John Elton/I Don't Wanna Go On With You Like That.mid	1 99
John Elton/I Guess That's Why They Call It the Blues.1.mid	1 11
John Elton/I Guess That's Why They Call It the Blues.2.mid	4 0
John Elton/I Guess That's Why They Call It the Blues.mid	1 11
John Elton/I'm Still Standing.1.mid	4 0
John Elton/I'm Still Standing.3.mid	1 11
John Elton/I'm Still Standing.mid	1 11
John Elton/Island Girl.1.mid	1 11
John Elton/Island Girl.2.mid	4 0
John Elton/Island Girl.mid	1 11
John Elton/Made in England.mid	4 82
John Elton/Madman Across the Water.mid	4 82
John Elton/Nikita.mid	1 73
John Elton/Rocket Man.2.mid	4 0
John Elton/Rocket Man.6.mid	4 73
John Elton/Sacrifice.1.mid	4 1
John Elton/Sacrifice.3.mid	1 11
John Elton/Saturday Night's Allright.mid	4 73
John Elton/Skyline Pigeon.mid	4 26
John Elton/Something About the Way You Look Tonight.mid	1 53
John Elton/Son of Your Father.mid	4 63
John Elton/Take Me to the Pilot.mid	4 26
John Elton/Tiny Dancer.mid	4 22
John Elton/You Gotta Love Someone.mid	1 61
John Elton/Your Song.5.mid	4 26
John Farnham/Playing to Win.mid	4 17
John Fogerty/Rock and Roll Girls.mid	4 71
John Fred/Judy in Disguise.mid	1 0
John Lennon/Mind Games.mid	1 66
John Lennon/Watching the Wheels.mid	7 73
John Paul Young/Love is in the Air.2.mid	4 77
John Paul Young/Love is in the Air.3.mid	1 1
John Paul Young/Love is in the Air.mid	1 65
John Waite/Missing You.1.mid	1 5
Johnny & The Hurricanes/Red River Rock.1.mid	6 18
Johnny Bristol/Hang on in There Baby.1.mid	4 56
Johnny Cash/Folsom Prison Blues.mid	15 22
Johnny Horton/The Battle of New Orleans.mid	4 26
Johnny Mathis/Misty.mid	1 0
Johnny Mathis/Misty.mid	2 48
Johnny Mercer/Come Rain or Come Shine.mid	1 73
Johnny Mercer/Tangerine.mid	4 0
Johnny Mercer/Tangerine.mid	11 11
Johnny Mercer/Tangerine.mid	12 26
Johnny Rivers/Midnight Special.mid	6 29
Johnny Rivers/Midnight Special.mid	0 
Johnny Rivers/Midnight Special.mid	6 29
Johnny Rivers/Secret Agent Man.2.mid	6 82
Jon Secada/Angel.mid	6 0
Jones Grace/Love Is the Drug.mid	3 18
Jose Feliciano/Feliz Navidad.mid	3 38
Joshua Kadison/Jessie.1.mid	4 24
Journey/Any Way You Want It.mid	5 11
Journey/Faithfully.2.mid	1 48
Journey/Faithfully.3.mid	1 48
Journey/Open Arms.1.mid	2 91
Journey/Open Arms.5.mid	2 91
Jovanotti/Ragazzo fortunato.2.mid	4 11
Jovanotti/Ragazzo fortunato.3.mid	4 11
Jovanotti/Serenata Rap.3.mid	4 11
Judy Collins/Amazing Grace.mid	4 22
Judy Collins/Amazing Grace.mid	5 5
Julio Iglesias/Quiereme mucho.mid	1 75
Jurgen Drews/Das Drews Sommerhit Medley '99.mid	4 75
Jurgen Drews/Warum immer ich.mid	4 82
K7/Come Baby Come (radio edit).mid	4 1
KC and The Sunshine Band/Get Down Tonight.mid	15 61
KC and The Sunshine Band/Get Down Tonight.mid	16 56
KC and The Sunshine Band/That's the Way I Like It.2.mid	4 65
KING,RICKY/Verde.1.mid	1 24
Kamoze Ini/Here Comes The Hotstepper.mid	4 87
Kansas/Dust In The Wind.6.mid	1 73
Kansas/Opus Insert.mid	13 63
Kansas/Paradox.mid	7 29
Kansas/The Wall.mid	6 50
Kaoma/Melodie d'Amour.mid	1 20
Kate Bush/Babooshka.mid	4 82
Katrina and the Waves/That's the Way.mid	4 90
Katrina and the Waves/Walking On Sunshine.mid	4 26
Keith/98-6.mid	4 82
Kenny Loggins/Footloose.1.mid	4 56
Kenny Loggins/Footloose.2.mid	1 5
Kenny Loggins/Footloose.mid	4 22
Kenny Loggins/Footloose.mid	5 48
Kenny Loggins/Forever.mid	2 73
Kiki Dee/I've Got the Music in Me.2.mid	1 60
Kiki Dee/I've Got the Music in Me.mid	4 60
Kim Appleby/Don't Worry.mid	1 88
King Diana/Shy Guy.mid	4 75
King Harvest/Dancing in the Moonlight.1.mid	4 73
Kiss/Outta This World.mid	1 65
Klaus & Klaus/Viva la Mexico.mid	1 73
Klein Orkest/Over de muur.mid	7 
Kool & The Gang/Fresh.2.mid	3 100
Kool & The Gang/Fresh.mid	1 2
Kool & The Gang/Fresh.mid	8 10
Kool & The Gang/Funky Stuff.mid	4 62
Kool & The Gang/Get Down On It.1.mid	1 73
Kool & The Gang/Medley.mid	1 26
Korgis/Everybody's Got to Learn Sometime.mid	4 71
Kristina Bach/Caballero - Caballero.mid	1 73
Kristina Bach/Erst ein Cappucino.mid	1 65
Kristina Bach/Tango mit Fernando.mid	4 25
Kristina Bach/Und die Erde steht still.mid	4 75
Kylie Minogue/I Should Be So Lucky.mid	1 57
Kylie Minogue/Locomotion.mid	1 73
LANZA/Be My Love.mid	4 24
LIGABUE/Buon compleanno, Elvis!.1.mid	4 82
LIGABUE/Ho messo via.mid	6 76
LIGABUE/Urlando contro il cielo.mid	4 65
La Bionda/One for You, One for Me.1.mid	1 65
La Bouche/Be My Lover.1.mid	4 68
La Bouche/Falling in Love (Radio Version).mid	4 73
La Bouche/Sweet Dreams.mid	4 99
Laid Back/Sunshine Reggae.1.mid	4 28
Last/Ambos Polka.mid	1 21
Last/An der Donau steht Marika.mid	1 21
Last/Auf dem Leiterwagen.1.mid	1 21
Last/Budweiser Polka.mid	1 21
Last/Budweiser Polka.mid	7 61
Last/Der Kanarienvogel.mid	1 21
Last/Die Rose Vom Worthersee.mid	1 21
Last/Frisch vom Fass.1.mid	1 21
Last/Herz-Schmerz-Polka.mid	1 21
Last/Liechtensteiner Polka.1.mid	1 71
Last/Polka Polka.mid	1 21
Last/Schwarze Amsel.1.mid	1 57
Laura Branigan/Selfcontrol.1.mid	4 54
Lavinia Jones/Sing It to You.mid	4 87
LeAnn Rimes/One Way Ticket (Because I Can).mid	16 11
Led Zeppelin/Babe I'm Gonna Leave You.mid	4 50
Led Zeppelin/Babe I'm Gonna Leave You.mid	3 61
Led Zeppelin/Dazed And Confused.1.mid	4 75
Led Zeppelin/Dazed And Confused.2.mid	1 85
Led Zeppelin/Dazed And Confused.3.mid	1 75
Led Zeppelin/Good Times Bad Times.1.mid	4 80
Led Zeppelin/Good Times Bad Times.2.mid	1 80
Led Zeppelin/Good Times Bad Times.3.mid	1 75
Led Zeppelin/Good Times Bad Times.mid	1 80
Led Zeppelin/How Many More Times.2.mid	1 83
Led Zeppelin/How Many More Times.3.mid	1 21
Led Zeppelin/How Many More Times.4.mid	4 83
Led Zeppelin/Immigrant Song.1.mid	1 90
Led Zeppelin/Immigrant Song.2.mid	1 90
Led Zeppelin/Immigrant Song.4.mid	4 90
Led Zeppelin/Livin' Lovin' Maid.2.mid	1 81
Led Zeppelin/Livin' Lovin' Maid.mid	1 81
Led Zeppelin/Living Loving Maid (She's Just a Woman).1.mid	4 81
Led Zeppelin/Ramble On.2.mid	1 80
Led Zeppelin/Since I've Been Loving You.1.mid	4 25
Led Zeppelin/Since I've Been Loving You.2.mid	1 84
Led Zeppelin/Stairway To Heaven.1.mid	1 74
Led Zeppelin/Stairway To Heaven.10.mid	4 74
Led Zeppelin/Stairway To Heaven.3.mid	1 22
Led Zeppelin/Stairway To Heaven.9.mid	1 74
Led Zeppelin/Stairway to Heaven.6.mid	1 22
Led Zeppelin/Ten Years Gone.1.mid	2 1
Led Zeppelin/Ten Years Gone.mid	2 1
Led Zeppelin/The Song Remains The Same.2.mid	4 5
Led Zeppelin/The Song Remains The Same.3.mid	1 5
Led Zeppelin/The Song Remains The Same.mid	1 5
Led Zeppelin/Whole Lotta Love.1.mid	4 22
Led Zeppelin/Whole Lotta Love.3.mid	1 80
Led Zeppelin/Whole Lotta Love.mid	1 80
Led Zeppelin/Your Time Is Gonna Come.1.mid	1 22
Led Zeppelin/Your Time Is Gonna Come.2.mid	1 22
Led Zeppelin/Your Time Is Gonna Come.3.mid	4 22
Lennon John/Oh My Love.mid	5 50
Lennon John/Power to the People.mid	1 61
Lennon John/Working Class Hero.mid	1 73
Leo Sayer/More Than I Can Say.mid	4 65
Leo Sayer/Unchained Melody.mid	1 0
Leo Sayer/You Make Me Feel Like Dancing.mid	1 26
Les Humphries Singers/Mexico.mid	4 65
Lesley Gore/It's My Party.mid	4 59
Level 42/Forever Now.mid	4 26
Level 42/Hot Water.mid	4 26
Level 42/Lessons In Love.1.mid	4 0
Level 42/Running in the Family.mid	1 73
Level 42/Starchild.mid	4 26
Lewis Meade _lux_/Honky Tonk Train Blues.mid	4 1
Lewis/Count Me In.mid	4 26
Lewis/Everybody Loves a Clown.mid	4 26
Lewis/Sealed With a Kiss.mid	4 26
Lewis/This Diamond Ring.mid	6 1
Limahl/Never Ending Story (2009 Remaster) (From the Film ''Never Ending Story'').mid	1 5
Linda, Roos & Jessica/Alles of niets.mid	4 58
Lionel Richie/My Love.mid	5 74
Lionel Richie/My Love.mid	6 0
Lionel Richie/My Love.mid	7 0
Lionel Richie/Sela.mid	4 0
Lionel Richie/Sela.mid	5 0
Lionel Richie/Sela.mid	6 0
Lionel Richie/You Are My Destiny.mid	1 1
Little Richard/Lucille.mid	1 57
Little Richard/Tutti Frutti.1.mid	1 18
Little River Band/Cool Change.mid	4 57
Little River Band/Forever Blue.mid	4 35
Little River Band/Lonesome Loser.mid	4 26
Little Texas/God Bless Texas.mid	4 40
Lobo/I'd Love You to Want Me.1.mid	1 56
Lobo/I'd Love You to Want Me.mid	1 23
Lobo/The Caribbean Disco Show.mid	4 75
Local H/Back in the Day.mid	-1 -1 no melody
Local H/Bag of Hammers.mid	-1 -1 no melody
Londonbeat/A Better Love.mid	1 1
Londonbeat/Build It With Love.mid	4 65
Londonbeat/I've Been Thinking About You.1.mid	6 73
