file,ismelody,program,instrument,notes,chordratio,avgpitch,pitchrange,rpat,dur,steps
"Britney Spears/What U See (Is What U Get).mid",F,97,FX 2 (soundtrack),3,0.38,79,24,2,2.250,0
"Broadway/Les Miz_ Medley_ Castle on a Cloud   Little People.mid",T,71,Clarinet,132,1.00,66,15,10,0.492,10
"Broadway/Les Miz_ Medley_ Castle on a Cloud   Little People.mid",F,54,Synth Voice,41,0.93,64,22,9,0.967,8
"Broadway/Les Miz_ Medley_ Castle on a Cloud   Little People.mid",F,69,English Horn,116,0.87,54,17,13,0.808,11
"Brooks & Dunn/Hard Workin' Man.1.mid",F,1,Bright Acoustic,554,0.38,65,64,26,0.404,102
"Brooks & Dunn/Hard Workin' Man.1.mid",F,35,Fretless Bass,584,1.00,34,19,11,0.383,423
"Brooks & Dunn/Hard Workin' Man.1.mid",F,27,Electric Guitar (clean),669,0.55,52,25,23,0.448,68
"Brooks & Dunn/Hard Workin' Man.1.mid",T,73,Flute,323,1.00,61,12,40,0.562,99
"Brooks & Dunn/Hard Workin' Man.1.mid",F,73,Flute,36,0.34,65,13,6,1.026,16
"Brooks & Dunn/Hard Workin' Man.1.mid",F,26,Electric Guitar (jazz),96,0.70,62,39,13,1.841,21
"Brooks & Dunn/Hard Workin' Man.1.mid",F,26,Electric Guitar (jazz),8,1.00,69,8,4,4.214,4
"Brooks & Dunn/Hard Workin' Man.1.mid",F,110,Fiddle,118,0.84,69,29,15,0.685,24
"Brooks & Dunn/Hard Workin' Man.1.mid",F,26,Electric Guitar (jazz),673,0.55,52,25,25,0.456,76
"Brooks & Dunn/Hard Workin' Man.1.mid",F,33,Electric Bass (finger),584,1.00,34,19,11,0.383,423
"Brooks & Dunn/Honky Tonk Truth.mid",T,24,Acoustic Guitar (nylon),343,1.00,57,19,21,0.879,115
"Brooks & Dunn/Honky Tonk Truth.mid",F,33,Electric Bass (finger),695,1.00,32,17,10,0.635,307
"Brooks & Dunn/Honky Tonk Truth.mid",F,29,Overdriven Guitar,36,0.53,58,8,1,0.354,13
"Brooks & Dunn/Honky Tonk Truth.mid",F,40,Violin,101,0.99,67,30,15,0.733,5
"Brooks & Dunn/Honky Tonk Truth.mid",F,27,Electric Guitar (clean),172,0.87,54,31,14,0.550,46
"Brooks & Dunn/Honky Tonk Truth.mid",F,27,Electric Guitar (clean),339,0.34,59,12,12,0.181,218
"Brooks & Dunn/Honky Tonk Truth.mid",F,27,Electric Guitar (clean),10,1.00,57,0,1,0.525,8
"Brooks & Dunn/Honky Tonk Truth.mid",F,30,Distortion Guitar,16,1.00,45,0,1,0.390,14
"Brooks & Dunn/Honky Tonk Truth.mid",F,28,Electric Guitar (muted),729,0.51,47,16,14,0.283,179
"Brooks & Dunn/Honky Tonk Truth.mid",F,0,Acoustic Grand,170,0.53,71,66,20,0.271,35
"Brooks & Dunn/Honky Tonk Truth.mid",F,0,Acoustic Grand,64,0.24,48,33,4,5.702,26
"Brooks & Dunn/Honky Tonk Truth.mid",F,0,Acoustic Grand,339,0.34,59,12,12,0.181,218
"Brooks & Dunn/Honky Tonk Truth.mid",F,26,Electric Guitar (jazz),36,0.72,65,17,8,4.010,3
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,1,Bright Acoustic,403,0.48,64,55,45,1.297,32
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,35,Fretless Bass,211,1.00,33,17,16,1.091,66
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,25,Acoustic Guitar (steel),447,0.27,61,26,7,0.648,306
"Brooks & Dunn/I'll Never Forgive My Heart.mid",T,24,Acoustic Guitar (nylon),254,1.00,59,19,38,0.518,60
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,24,Acoustic Guitar (nylon),27,1.00,61,10,5,0.833,5
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,54,Synth Voice,14,0.35,60,10,1,5.831,5
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,28,Electric Guitar (muted),245,0.81,58,26,31,1.789,24
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,26,Electric Guitar (jazz),80,0.63,70,27,13,1.487,10
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,110,Fiddle,59,0.80,71,24,14,0.940,7
"Brooks & Dunn/I'll Never Forgive My Heart.mid",F,25,Acoustic Guitar (steel),471,0.30,63,15,6,0.570,414
"Brooks & Dunn/She Used to Be Mine.mid",F,1,Bright Acoustic,485,0.48,59,47,39,1.562,39
"Brooks & Dunn/She Used to Be Mine.mid",F,35,Fretless Bass,324,1.00,36,26,27,0.872,122
"Brooks & Dunn/She Used to Be Mine.mid",F,25,Acoustic Guitar (steel),440,0.35,58,24,12,0.852,177
"Brooks & Dunn/She Used to Be Mine.mid",T,26,Electric Guitar (jazz),304,1.00,59,17,37,0.609,99
"Brooks & Dunn/She Used to Be Mine.mid",F,4,Electric Piano 1,99,0.52,61,17,9,0.867,47
"Brooks & Dunn/She Used to Be Mine.mid",F,29,Overdriven Guitar,30,1.00,69,26,4,0.464,6
"Brooks & Dunn/She Used to Be Mine.mid",F,26,Electric Guitar (jazz),136,0.98,55,24,13,3.260,5
"Brooks & Dunn/She Used to Be Mine.mid",F,110,Fiddle,100,1.00,69,19,18,1.318,5
"Brooks & Dunn/She Used to Be Mine.mid",F,26,Electric Guitar (jazz),65,0.80,67,29,16,2.221,3
"Brooks & Dunn/She Used to Be Mine.mid",F,26,Electric Guitar (jazz),11,1.00,65,11,4,2.464,1
"Brooks & Dunn/She Used to Be Mine.mid",F,24,Acoustic Guitar (nylon),22,1.00,67,24,3,1.977,1
"Brooks & Dunn/She Used to Be Mine.mid",F,27,Electric Guitar (clean),267,0.95,57,38,18,2.453,12
"Brooks & Dunn/She Used to Be Mine.mid",F,4,Electric Piano 1,9,1.00,76,9,2,4.315,0
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,0,Acoustic Grand,534,0.36,60,48,46,0.945,152
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,35,Fretless Bass,567,1.00,34,27,22,0.677,271
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,25,Acoustic Guitar (steel),582,0.31,58,29,29,0.768,211
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",T,24,Acoustic Guitar (nylon),377,1.00,60,17,46,0.651,93
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,24,Acoustic Guitar (nylon),111,0.44,62,19,12,1.034,29
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,54,Synth Voice,40,0.56,68,11,3,2.112,0
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,25,Acoustic Guitar (steel),562,0.31,59,28,30,0.776,187
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,27,Electric Guitar (clean),339,0.57,54,34,32,1.065,54
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,26,Electric Guitar (jazz),200,0.71,69,31,27,1.443,11
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,28,Electric Guitar (muted),239,0.53,55,16,6,0.414,50
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,27,Electric Guitar (clean),47,0.59,59,29,7,2.331,3
"Brooks & Dunn/She's Not the Cheatin' Kind.3.mid",F,29,Overdriven Guitar,35,0.74,67,29,6,0.620,8
"Brooks & Dunn/That Ain't No Way to Go.mid",F,0,Acoustic Grand,136,0.21,54,48,15,1.341,36
"Brooks & Dunn/That Ain't No Way to Go.mid",F,35,Fretless Bass,329,0.50,34,17,26,0.872,155
"Brooks & Dunn/That Ain't No Way to Go.mid",F,25,Acoustic Guitar (steel),594,0.22,55,28,26,0.805,203
"Brooks & Dunn/That Ain't No Way to Go.mid",T,7,Clav,301,0.50,59,17,48,0.789,73
"Brooks & Dunn/That Ain't No Way to Go.mid",F,4,Electric Piano 1,119,0.18,60,17,17,1.091,28
"Brooks & Dunn/That Ain't No Way to Go.mid",F,40,Violin,76,0.50,73,24,13,1.164,3
"Brooks & Dunn/That Ain't No Way to Go.mid",F,25,Acoustic Guitar (steel),48,0.50,63,19,4,2.271,6
"Brooks & Dunn/That Ain't No Way to Go.mid",F,26,Electric Guitar (jazz),234,0.35,57,26,25,1.995,20
"Brooks & Dunn/That Ain't No Way to Go.mid",F,27,Electric Guitar (clean),234,0.35,57,26,25,1.956,20
"Brooks & Dunn/That Ain't No Way to Go.mid",F,28,Electric Guitar (muted),110,0.39,44,14,10,0.318,41
"Brooks & Dunn/That Ain't No Way to Go.mid",F,26,Electric Guitar (jazz),22,0.44,65,24,8,2.581,2
"Brooks & Dunn/That Ain't No Way to Go.mid",F,26,Electric Guitar (jazz),7,0.50,68,16,3,2.701,1
"Brooks & Dunn/We'll Burn That Bridge.mid",F,1,Bright Acoustic,496,0.53,51,60,11,0.643,268
"Brooks & Dunn/We'll Burn That Bridge.mid",F,35,Fretless Bass,486,1.00,33,14,7,0.740,322
"Brooks & Dunn/We'll Burn That Bridge.mid",F,26,Electric Guitar (jazz),98,0.84,56,34,17,0.768,17
"Brooks & Dunn/We'll Burn That Bridge.mid",T,73,Flute,288,1.00,70,21,32,0.820,79
"Brooks & Dunn/We'll Burn That Bridge.mid",F,75,Pan Flute,144,0.52,58,26,16,1.227,49
"Brooks & Dunn/We'll Burn That Bridge.mid",F,26,Electric Guitar (jazz),56,0.90,68,35,5,2.982,15
"Brooks & Dunn/We'll Burn That Bridge.mid",F,26,Electric Guitar (jazz),66,0.71,67,19,7,1.919,10
"Brooks & Dunn/We'll Burn That Bridge.mid",F,110,Fiddle,52,1.00,74,24,8,0.674,4
"Brooks & Dunn/We'll Burn That Bridge.mid",F,26,Electric Guitar (jazz),521,0.60,47,19,10,0.539,54
"Brooks & Dunn/We'll Burn That Bridge.mid",F,33,Electric Bass (finger),486,1.00,33,14,7,0.740,322
"Brooks & Dunn/We'll Burn That Bridge.mid",F,110,Fiddle,9,1.00,76,12,2,0.646,5
"Brooks & Dunn/We'll Burn That Bridge.mid",F,26,Electric Guitar (jazz),6,1.00,67,6,1,0.667,2
"Brooks & Dunn/We'll Burn That Bridge.mid",F,27,Electric Guitar (clean),98,0.84,56,34,17,0.768,17
"Brooks & Dunn/We'll Burn That Bridge.mid",F,27,Electric Guitar (clean),521,0.60,47,19,10,0.539,54
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",T,24,Acoustic Guitar (nylon),265,0.99,58,21,38,0.752,42
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,33,Electric Bass (finger),497,1.00,35,16,14,0.744,147
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,40,Violin,104,0.95,71,31,14,0.898,10
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,25,Acoustic Guitar (steel),170,0.33,59,14,3,0.910,75
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,25,Acoustic Guitar (steel),204,0.35,59,16,9,0.900,99
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,27,Electric Guitar (clean),136,0.91,61,36,14,0.635,7
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,28,Electric Guitar (muted),681,0.51,47,18,8,0.333,145
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,0,Acoustic Grand,122,0.41,75,56,15,0.435,18
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,0,Acoustic Grand,200,0.36,61,28,10,0.931,107
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,0,Acoustic Grand,497,1.00,35,16,14,0.744,147
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,26,Electric Guitar (jazz),168,0.67,71,27,14,1.185,12
"Brooks & Dunn/Whiskey Under the Bridge.1.mid",F,26,Electric Guitar (jazz),39,0.66,69,24,5,0.954,4
"Brooks & Dunn/Whiskey Under the Bridge.mid",T,24,Acoustic Guitar (nylon),265,0.99,58,21,38,0.752,42
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,33,Electric Bass (finger),497,1.00,35,16,14,0.744,147
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,40,Violin,104,0.95,71,31,14,0.898,10
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,25,Acoustic Guitar (steel),170,0.33,59,14,3,0.910,75
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,25,Acoustic Guitar (steel),204,0.35,59,16,9,0.900,99
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,27,Electric Guitar (clean),136,0.91,61,36,14,0.635,7
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,28,Electric Guitar (muted),681,0.51,47,18,8,0.333,145
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,0,Acoustic Grand,122,0.41,75,56,15,0.435,18
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,0,Acoustic Grand,200,0.36,61,28,10,0.931,107
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,0,Acoustic Grand,497,1.00,35,16,14,0.744,147
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,26,Electric Guitar (jazz),168,0.67,71,27,14,1.185,12
"Brooks & Dunn/Whiskey Under the Bridge.mid",F,26,Electric Guitar (jazz),39,0.66,69,24,5,0.954,4
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,34,Electric Bass (pick),1014,1.00,39,31,11,0.275,802
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,3,Honky-Tonk,407,0.46,74,43,21,1.475,106
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,30,Distortion Guitar,684,0.68,49,29,27,0.700,95
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",T,84,Lead 5 (charang),553,1.00,71,17,16,0.533,333
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,29,Overdriven Guitar,498,1.00,54,17,17,0.575,361
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,29,Overdriven Guitar,488,1.00,62,17,16,0.517,321
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).2.mid",F,34,Electric Bass (pick),161,0.61,60,43,14,1.275,44
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",T,84,Lead 5 (charang),507,1.00,71,17,35,0.517,314
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,33,Electric Bass (finger),897,0.99,34,39,26,0.294,663
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,25,Acoustic Guitar (steel),15,0.42,58,31,2,2.108,0
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,29,Overdriven Guitar,421,0.53,51,36,24,0.635,287
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,27,Electric Guitar (clean),8,0.62,65,31,2,3.308,0
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,29,Overdriven Guitar,258,0.52,50,43,19,0.658,161
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,29,Overdriven Guitar,154,0.88,63,34,28,0.658,24
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,29,Overdriven Guitar,37,1.00,60,17,6,0.433,22
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,22,Harmonica,275,0.92,74,20,28,0.425,97
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,17,Percussive Organ,106,0.50,79,25,22,4.758,22
"Brooks Garth/Ain't Goin' Down ('til the Sun Comes Up).mid",F,5,Electric Piano 2,31,0.52,68,36,7,1.712,3
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,33,Electric Bass (finger),699,1.00,38,24,14,0.531,53
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,25,Acoustic Guitar (steel),920,0.44,63,14,5,0.427,49
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",T,3,Honky-Tonk,391,1.00,69,19,30,0.635,138
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,29,Overdriven Guitar,617,0.89,51,34,19,0.878,90
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,1,Bright Acoustic,288,0.45,69,53,28,1.997,71
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,27,Electric Guitar (clean),48,0.50,61,12,6,1.667,29
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,26,Electric Guitar (jazz),84,0.64,69,25,11,1.331,4
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,28,Electric Guitar (muted),809,1.00,48,18,7,0.378,126
"Brooks Garth/American Honky-Tonk Bar Association.1.mid",F,110,Fiddle,96,1.00,70,29,8,1.068,20
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,0,Acoustic Grand,1172,0.39,63,67,84,0.410,251
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,93,Pad 6 (metallic),128,0.65,63,36,20,3.269,24
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,26,Electric Guitar (jazz),128,0.65,63,36,20,3.269,24
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,27,Electric Guitar (clean),691,0.72,51,19,43,0.844,86
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,40,Violin,115,0.78,70,36,18,1.398,17
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,33,Electric Bass (finger),771,0.99,38,20,45,0.646,64
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,32,Acoustic Bass,771,0.99,38,20,45,0.646,64
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,40,Violin,32,0.86,77,20,6,1.358,9
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,1,Bright Acoustic,71,0.75,85,26,4,0.235,0
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,0,Acoustic Grand,57,0.76,78,26,4,0.244,12
"Brooks Garth/American Honky-Tonk Bar Association.mid",F,27,Electric Guitar (clean),6,1.00,53,12,0,0.406,0
"Brooks Garth/American Honky-Tonk Bar Association.mid",T,24,Acoustic Guitar (nylon),348,1.00,69,12,17,0.606,164
"Brooks Garth/Papa Loved Mama.1.mid",F,35,Fretless Bass,682,1.00,36,31,7,0.292,571
"Brooks Garth/Papa Loved Mama.1.mid",F,3,Honky-Tonk,296,0.40,71,44,26,1.175,65
"Brooks Garth/Papa Loved Mama.1.mid",F,29,Overdriven Guitar,534,0.66,51,30,30,0.642,85
"Brooks Garth/Papa Loved Mama.1.mid",T,34,Electric Bass (pick),372,1.00,43,19,21,0.667,114
"Brooks Garth/Papa Loved Mama.mid",F,35,Fretless Bass,682,1.00,36,31,7,0.292,571
"Brooks Garth/Papa Loved Mama.mid",F,3,Honky-Tonk,296,0.40,71,44,26,1.175,65
"Brooks Garth/Papa Loved Mama.mid",F,29,Overdriven Guitar,534,0.66,51,30,30,0.642,85
"Brooks Garth/Papa Loved Mama.mid",T,34,Electric Bass (pick),372,1.00,43,19,21,0.667,114
"Brooks Garth/Somewhere Other Than the Night.mid",F,32,Acoustic Bass,135,1.00,44,21,16,1.083,48
"Brooks Garth/Somewhere Other Than the Night.mid",F,25,Acoustic Guitar (steel),99,0.88,56,32,13,1.433,0
"Brooks Garth/Somewhere Other Than the Night.mid",F,24,Acoustic Guitar (nylon),40,1.00,56,21,7,0.942,3
"Brooks Garth/Somewhere Other Than the Night.mid",F,2,Electric Grand,128,0.79,50,50,20,1.042,30
"Brooks Garth/Somewhere Other Than the Night.mid",F,49,String Ensemble 2,5,1.00,79,3,2,3.925,0
"Brooks Garth/Somewhere Other Than the Night.mid",F,99,FX 4 (atmosphere),68,0.89,70,36,13,1.058,2
"Brooks Garth/Somewhere Other Than the Night.mid",F,40,Violin,2,1.00,67,0,1,6.000,0
"Brooks Garth/Somewhere Other Than the Night.mid",F,48,String Ensemble 1,39,0.80,68,43,9,2.958,3
"Brooks Garth/Somewhere Other Than the Night.mid",F,48,String Ensemble 1,45,0.92,70,32,9,1.942,2
"Brooks Garth/Somewhere Other Than the Night.mid",F,119,Reverse Cymbal,2,1.00,63,0,1,1.458,0
"Brooks Garth/Somewhere Other Than the Night.mid",F,88,Pad 1 (new age),22,1.00,72,20,6,1.475,1
"Brooks Garth/Somewhere Other Than the Night.mid",T,0,Acoustic Grand,257,1.00,58,16,35,0.575,66
"Brooks Garth/Standing Outside the Fire.mid",F,33,Electric Bass (finger),261,1.00,35,29,17,0.977,111
"Brooks Garth/Standing Outside the Fire.mid",F,25,Acoustic Guitar (steel),785,0.40,58,21,10,0.375,192
"Brooks Garth/Standing Outside the Fire.mid",T,75,Pan Flute,324,1.00,70,12,25,0.651,79
"Brooks Garth/Standing Outside the Fire.mid",F,28,Electric Guitar (muted),622,1.00,47,12,8,0.177,411
"Brooks Garth/Standing Outside the Fire.mid",F,29,Overdriven Guitar,212,0.73,52,41,23,1.456,58
"Brooks Garth/Standing Outside the Fire.mid",F,110,Fiddle,409,0.64,74,28,19,0.396,118
"Brooks Garth/Standing Outside the Fire.mid",F,52,Choir Aahs,174,0.85,74,15,14,0.656,57
"Brooks Garth/Standing Outside the Fire.mid",F,31,Guitar Harmonics,3,1.00,58,12,1,6.609,0
"Brooks Garth/Standing Outside the Fire.mid",F,0,Acoustic Grand,306,0.51,61,46,26,1.057,42
"Brooks Garth/Standing Outside the Fire.mid",F,92,Pad 5 (bowed),12,0.23,62,31,3,3.237,0
"Brooks Garth/Standing Outside the Fire.mid",F,119,Reverse Cymbal,1,1.00,60,0,0,2.000,0
"Brooks Garth/The Beaches of Cheyenne.mid",T,24,Acoustic Guitar (nylon),408,1.00,57,16,39,0.792,116
"Brooks Garth/The Beaches of Cheyenne.mid",F,33,Electric Bass (finger),361,1.00,29,16,17,1.142,186
"Brooks Garth/The Beaches of Cheyenne.mid",F,110,Fiddle,156,0.89,66,28,34,1.967,19
"Brooks Garth/The Beaches of Cheyenne.mid",F,110,Fiddle,36,1.00,69,20,9,1.167,1
"Brooks Garth/The Beaches of Cheyenne.mid",F,25,Acoustic Guitar (steel),554,0.38,57,29,32,0.325,79
"Brooks Garth/The Beaches of Cheyenne.mid",F,25,Acoustic Guitar (steel),590,0.40,60,19,31,0.333,181
"Brooks Garth/The Beaches of Cheyenne.mid",F,18,Rock Organ,212,0.54,73,21,33,2.467,20
"Brooks Garth/The Beaches of Cheyenne.mid",F,26,Electric Guitar (jazz),110,0.81,72,31,25,1.692,20
"Brooks Garth/The Beaches of Cheyenne.mid",F,26,Electric Guitar (jazz),83,0.74,71,28,16,2.200,14
"Brooks Garth/The Beaches of Cheyenne.mid",F,0,Acoustic Grand,430,0.36,59,40,51,0.733,77
"Brooks Garth/The River.1.mid",F,25,Acoustic Guitar (steel),959,0.81,57,31,27,0.517,103
"Brooks Garth/The River.1.mid",F,33,Electric Bass (finger),140,1.00,34,24,10,2.192,49
"Brooks Garth/The River.1.mid",F,121,Breath Noise,1,0.33,38,24,0,63.950,0
"Brooks Garth/The River.1.mid",T,73,Flute,349,1.00,68,19,31,0.450,76
"Brooks Garth/The River.1.mid",F,4,Electric Piano 1,122,0.31,54,43,16,1.492,18
"Brooks Garth/The River.1.mid",F,25,Acoustic Guitar (steel),959,0.81,57,31,27,0.517,41
"Brooks Garth/The River.1.mid",F,25,Acoustic Guitar (steel),5,0.21,51,19,1,6.542,2
"Brooks Garth/The River.1.mid",F,30,Distortion Guitar,71,0.89,64,26,15,2.642,5
"Brooks Garth/The River.1.mid",F,0,Acoustic Grand,21,1.00,81,38,3,0.525,1
"Brooks Garth/The River.1.mid",F,85,Lead 6 (voice),1,0.33,38,24,0,63.950,0
"Brooks Garth/The River.1.mid",F,93,Pad 6 (metallic),5,0.21,51,19,1,6.542,2
"Brooks Garth/The River.1.mid",F,48,String Ensemble 1,95,1.00,38,22,6,2.775,20
"Brooks Garth/The River.1.mid",F,47,Timpani,7,1.00,31,10,2,1.150,4
"Brooks Garth/The River.1.mid",F,102,FX 7 (echoes),1,0.33,38,24,0,63.950,0
"Brooks Garth/The Thunder Rolls.3.mid",F,33,Electric Bass (finger),145,1.00,33,12,19,1.276,40
"Brooks Garth/The Thunder Rolls.3.mid",F,1,Bright Acoustic,125,0.28,57,33,18,1.990,39
"Brooks Garth/The Thunder Rolls.3.mid",F,29,Overdriven Guitar,61,0.71,61,32,13,1.237,8
"Brooks Garth/The Thunder Rolls.3.mid",F,25,Acoustic Guitar (steel),873,0.72,57,20,19,0.297,81
"Brooks Garth/The Thunder Rolls.3.mid",F,48,String Ensemble 1,75,0.47,62,53,11,2.383,7
"Brooks Garth/The Thunder Rolls.3.mid",T,3,Honky-Tonk,292,1.00,55,17,24,0.484,57
"Brooks Garth/The Thunder Rolls.mid",F,33,Electric Bass (finger),218,1.00,33,12,19,1.182,63
"Brooks Garth/The Thunder Rolls.mid",F,1,Bright Acoustic,184,0.28,57,33,18,1.612,64
"Brooks Garth/The Thunder Rolls.mid",F,29,Overdriven Guitar,87,0.71,62,32,14,1.167,15
"Brooks Garth/The Thunder Rolls.mid",F,25,Acoustic Guitar (steel),1141,0.71,57,20,19,0.289,113
"Brooks Garth/The Thunder Rolls.mid",F,48,String Ensemble 1,108,0.45,62,53,10,2.003,16
"Brooks Garth/The Thunder Rolls.mid",T,3,Honky-Tonk,405,1.00,55,17,26,0.492,82
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",F,32,Acoustic Bass,295,1.00,37,25,5,0.692,77
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",F,4,Electric Piano 1,365,0.58,62,43,21,0.733,45
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",F,28,Electric Guitar (muted),177,0.46,67,19,8,0.275,93
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",F,127,Gunshot,30,0.49,62,31,8,0.167,0
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",F,26,Electric Guitar (jazz),78,0.69,75,26,11,1.433,2
"Brooks Garth/Two of a Kind, Workin' on a Full House.mid",T,16,Drawbar Organ,366,0.96,69,17,52,0.500,110
"Brotherhood of Man/Save Your Kisses for Me.mid",F,35,Fretless Bass,403,1.00,37,17,11,0.740,133
"Brotherhood of Man/Save Your Kisses for Me.mid",F,98,FX 3 (crystal),34,1.00,93,12,7,0.268,2
"Brotherhood of Man/Save Your Kisses for Me.mid",T,71,Clarinet,323,0.99,71,14,32,0.779,45
"Brotherhood of Man/Save Your Kisses for Me.mid",F,49,String Ensemble 2,217,0.69,74,48,13,1.797,3
"Brotherhood of Man/Save Your Kisses for Me.mid",F,40,Violin,111,1.00,84,12,8,0.727,8
"Brotherhood of Man/Save Your Kisses for Me.mid",F,56,Trumpet,139,0.87,69,12,13,1.620,8
"Brotherhood of Man/Save Your Kisses for Me.mid",F,17,Percussive Organ,62,0.33,73,16,2,0.443,46
"Brotherhood of Man/Save Your Kisses for Me.mid",F,52,Choir Aahs,98,0.75,70,17,7,1.401,6
"Brotherhood of Man/Save Your Kisses for Me.mid",F,53,Voice Oohs,9,1.00,71,7,2,0.865,0
"Brotherhood of Man/Save Your Kisses for Me.mid",F,0,Acoustic Grand,244,0.47,72,57,27,1.312,62
"Brotherhood of Man/Save Your Kisses for Me.mid",F,45,Pizzicato Strings,33,0.69,53,48,3,0.505,15
"Brotherhood of Man/Save Your Kisses for Me.mid",F,25,Acoustic Guitar (steel),206,0.31,59,17,12,1.052,91
"Brotherhood of Man/Save Your Kisses for Me.mid",F,25,Acoustic Guitar (steel),750,0.29,60,29,54,0.680,383
"Brown Clarence Gatemouth/Never Ending Love for You.mid",T,62,SynthBrass 1,282,1.00,67,72,32,0.583,114
"Brown Clarence Gatemouth/Never Ending Love for You.mid",F,105,Banjo,597,0.55,69,73,5,0.148,293
